torque_1,torque_2
-0.350847,-0.958784
-0.346847,-0.95507
-0.362763,-0.960668
-0.357746,-0.964512
-0.34575,-0.966912
-0.355851,-0.96407
-0.365952,-0.969086
-0.359917,-0.971768
-0.355104,-0.97504
-0.349069,-0.978012
-0.348848,-0.978668
-0.350082,-0.980196
-0.341866,-0.983168
-0.340628,-0.984696
-0.338722,-0.989121
-0.332978,-0.987451
-0.341189,-0.987807
-0.341259,-0.990788
-0.33566,-0.991144
-0.317123,-0.994997
-0.315304,-0.995353
-0.311654,-0.997753
-0.300095,-0.997236
-0.305834,-0.99702
-0.295584,-0.998829
-0.29231,-0.998612
-0.284881,-0.996351
-0.274775,-0.996134
-0.278334,-0.995327
-0.275061,-0.99511
-0.269462,-0.996629
-0.260579,-0.989725
-0.262248,-0.988046
-0.252434,-0.983177
-0.240147,-0.978881
-0.234839,-0.973431
-0.228863,-0.96739
-0.220211,-0.958742
-0.209379,-0.953573
-0.198546,-0.944344
-0.190185,-0.935105
-0.176359,-0.928783
-0.168289,-0.920416
-0.148153,-0.912931
-0.143281,-0.904273
-0.134252,-0.890964
-0.113534,-0.881734
-0.109971,-0.87424
-0.0937594,-0.862103
-0.0747002,-0.852283
-0.0712817,-0.846251
-0.0598678,-0.83992
-0.0484539,-0.83447
-0.03739,-0.830173
-0.0362974,-0.830538
-0.0200863,-0.825951
0.00513778,-0.824562
0.00544426,-0.83016
0.0158406,-0.827027
0.0262369,-0.82652
0.0287831,-0.819607
0.0318517,-0.815029
0.034398,-0.804918
0.0427591,-0.797133
0.048735,-0.788194
0.0595674,-0.778955
0.0644396,-0.766527
0.0707656,-0.760777
0.0654026,-0.746596
0.0740544,-0.737657
0.0745656,-0.724057
0.0770526,-0.715409
0.0848322,-0.70617
0.089123,-0.696349
0.0847776,-0.691771
0.0913943,-0.683696
0.10368,-0.678827
0.0927933,-0.672205
0.101591,-0.670234
0.10719,-0.667692
0.118108,-0.66892
0.11106,-0.669575
0.110844,-0.670803
0.104464,-0.671159
0.112534,-0.672686
0.108975,-0.673042
0.112189,-0.673107
0.112118,-0.674344
0.120189,-0.670629
0.114244,-0.666633
0.106033,-0.661755
0.109742,-0.657459
0.118626,-0.649683
0.115357,-0.648003
0.11456,-0.642544
0.110941,-0.63942
0.100841,-0.630762
0.111032,-0.625012
0.09846,-0.620434
0.115979,-0.617592
0.103057,-0.614749
0.117088,-0.612207
0.118326,-0.615179
0.110928,-0.617279
0.121469,-0.617353
0.12134,-0.621197
0.125049,-0.624751
0.11582,-0.629768
0.118162,-0.629542
